sapp,APPLING COUNTY SCHOOLS
ath1,ATHENS REG PUBLIC LIBRARY
satk,ATKINSON COUNTY SCHOOLS
satl,ATLANTA PUBLIC SCHOOLS
afpl,FULTON COUNTY LIBRARY SYSTEM
psat,ATLANTA GIRLS SCHOOL
ahc1,ATLANTA HISTORY CENTER LIBRARY
psai,ATLANTA INTERNATIONAL SCHOOL
psap,AUGUSTA PREP DAY SCHOOL
sbac,BACON COUNTY SCHOOLS
sbal,BALDWIN COUNTY SCH DIST
sban,BANKS COUNTY SCHOOLS
sbar,BARROW COUNTY SCHOOLS
car1,BARTOW COUNTY LIBRARY SYSTEM
sbaa,BARTOW COUNTY SCHOOLS
btr1,BARTRAM TRAIL REG LIBRARY
sben,BEN HILL COUNTY SCHOOLS
sber,BERRIEN COUNTY SCHOOLS
psbe,BETHESDA SCHOOL
sbib,BIBB COUNTY SCHOOLS
sble,BLECKLEY COUNTY SCHOOLS
psbh,BRANDON HALL SCHOOL
sbrn,BRANTLEY COUNTY SCHOOLS
sbre,BREMEN CITY SCHOOLS
bcl1,BROOKS COUNTY LIBRARY
sbro,BROOKS COUNTY SCHOOLS
psbr,BROOKSTONE SCHOOL
sbry,BRYAN COUNTY SCHOOLS
sbuf,BUFORD CITY SCHOOLS
sbul,BULLOCH COUNTY SCHOOLS
sbur,BURKE COUNTY SCHOOLS
sbut,BUTTS COUNTY SCHOOLS
scal,CALHOUN CITY SCHOOLS
scab,CALHOUN COUNTY SCHOOLS
scam,CAMDEN COUNTY SCHOOL DISTRICT
scan,CANDLER COUNTY SCHOOLS
scac,CARROLL CO SCHOOL DIST
scar,CARROLLTON CITY SCHOOLS
bcat,CATOOSA COUNTY LIBRARY
scat,CATOOSA COUNTY SCHOOL DIST
scha,CHARLTON COUNTY SCHOOLS
schb,CHATTAHOOCHEE COUNTY SCHOOLS
cht1,CHATTAHOOCHEE VALLEY LIBRARIES
cha1,CHATTOOGA COUNTY LIBRARY
hcht,CHATTOOGA COUNTY SCHOOLS
sche,CHEROKEE COUNTY SCHOOL DISTRICT
crl1,CHEROKEE REG LIBRARY
che1,CHESTATEE REG LIB
schi,CHICKAMAUGA CITY SCHOOLS
pscr,CHRISTIAN HERITAGE SCHOOL
sclb,CLARKE COUNTY SCHOOLS
scla,CLAY COUNTY SCHOOLS
ccl1,CLAYTON COUNTY LIBRARY SYSTEM
scly,CLAYTON COUNTY PUBLIC SCHOOLS
scli,CLINCH CO SCHOOL DIST
cpr1,COASTAL PLAIN REG LIBRARY
cob1,COBB COUNTY PUBLIC LIBRARY
scob,COBB COUNTY SCHOOLS
scof,COFFEE COUNTY SCHOOLS
scoa,COLQUITT COUNTY SCHOOLS
scol,COLUMBIA COUNTY SCHOOLS
cts1,COLUMBIA THEOLOGICAL SEMINARY
scom,COMMERCE IND SCH DIST
con1,CONYERS ROCKDALE LIBRARY
hcoo,COOK COUNTY SCHOOLS
psco,CORNERSTONE CHRISTIAN ACADEMY
scow,COWETA COUNTY SCH DIST
new2,COWETA PUBLIC LIBRARY SYSTEM
scra,CRAWFORD CO SCH DIST
scri,CRISP COUNTY SCHOOLS
adad,DADE COUNTY SCHOOLS
sdal,DALTON PUBLIC SCHOOLS
psda,DARLINGTON SCHOOL
sdea,DECATUR CITY SCHOOLS
sdec,DECATUR COUNTY SCHOOLS
psdw,DEERFIELD WINDSOR UPPER SCHOOL
dep1,DEKALB COUNTY PUBLIC LIBRARY SYSTEM
