"GALILEO Name","GALILEO Inst Code","Tumblebooks Name","Tumblebooks Code"
"Forsyth County Public Library","frl1","1P Forsyth County Public Library","frl1"
"Thomas County Public Library System","tcp1","1P Thomas County Public Library","tcpls"
"Clayton County Library System","ccl1","1P Clayton County Library System","claytonlibrary"
"Oconee Regional Library System","oco1","1P Oconee County Library","oconee"
"Chestatee Regional Library System","che1","1P Chestatee Regional Library System","crls"
"Gwinnett County Public Library","grl1","1P Gwinnett County Public Library System","gwinnett"
"Dougherty County Public Library","dou1","1P Dougherty County Public Library","doughertycountypl"
"Lee County Library System","lee1","1P Lee County Public Library System","leecopl"
"Chattahoochee Valley Libraries","cht1","1P Chattahoochee Valley Libraries","cvlga"
"Roddenbery Memorial Library","rod1","1P Roddenbery Memorial Library","roddenbery"
"Moultrie-Colquitt County Library System","mcc1","1P Moultrie-Colquitt County Library System","mccls"
"Live Oak Public Libraries","cel1","1P Live Oak Public Libraries","liveoakpl"
"Augusta-Richmond County Public Library","ecg1","1P Augusta-Richmond County Public Library","ecgrl"
"Conyers-Rockdale Library System","con1","1P Conyers Rockdale Library System","conyersrockdale"
"Houston County Public Library","nol1","1P Houston County Public Library","houstoncpls"
"Public Library - Demonstration Site","pblb","1P Public Library - Demonstration Site","pblb"
"Public Library - Test Site","tpbl","1P GALILEO Admin","dem4"
"Athens Regional Library System","ath1","1P Athens Regional Library System","ath1"
"Atlanta-Fulton Public Library System","afpl","1P Atlanta-Fulton Public Library System","afpl"
"Bartow County Library System","car1","1P Bartow County Library System","car1"
"Bartram Trail Regional Library System","btr1","1P Bartram Trail Regional Library System","btr1"
"Brooks County Library","bcl1","1P Brooks County Library","bcl1"
"Catoosa County Public Library System","bcat","1P Catoosa County Public Library System","bcat"
"Chattooga County Library System","cha1","1P Chattooga County Library System","cha1"
"Cherokee Regional Library System","crl1","1P Cherokee Regional Library System","crl1"
"Coastal Plain Regional Library System","cpr1","1P Coastal Plain Regional Library","cpr1"
"Cobb County Public Library","cob1","1P Cobb County Public Library","cob1"
"Coweta Public Library System","cwl1","1P Coweta Public Library System","cwl1"
"DeKalb County Public Library","dep1","1P DeKalb County Public Library","dep1"
"DeSoto Trail Regional Library","dtr1","1P DeSoto Trail Regional Library","dtr1"
"Elbert County Library System","ecl1","1P Elbert County Public Library System","ecl1"
"Fitzgerald-Ben Hill Library","fit1","1P Fitzgerald-Ben Hill County Library","fit1"
"Flint River Regional Library System","frr1","1P Flint River Regional Library System","frr1"
"Georgia Public Library Service","pub1","1P Georgia Public Library Service","pub1"
"Greater Clarks Hill Regional Library System","gchr","1P Greater Clarks Hill Regional Library System","gchr"
"Hall County Library System","hal1","1P Hall County Library System","hal1"
"Hart County Public Library","hrl1","1P Hart County Public Library","hrl1"
"Henry County Library System","hcl1","1P Henry County Library System","hcl1"
"Jefferson County Library System","lpl1","1P Jefferson County Library System","lpl1"
"Kinchafoonee Regional Library System","krl1","1P Kinchafoonee Regional Library System","krl1"
"Lake Blackshear Regional Library System","lak1","1P Lake Blackshear Regional Library","lak1"
"Marshes of Glynn Libraries","mgl1","1P Marshes of Glynn Libraries","mgl1"
"Middle Georgia Regional Library System","mgr1","1P Middle Georgia Regional Library System","mgr1"
"Mountain Regional Library System","mrl1","1P Mountain Regional Library System","mrl1"
"Newton County Library System","ncl1","1P Newton County Library System","ncl1"
"Northeast Georgia Regional Library System","nega","1P Northeast Georgia Regional Library System","nega"
"Northwest Georgia Regional Library System","drl1","1P Northwest Georgia Regional Library System","drl1"
"Ocmulgee Regional Library System","ocm1","1P Ocmulgee Regional Library System","ocm1"
"Ohoopee Regional Library System","oho1","1P Ohoopee Regional Library System","oho1"
"Okefenokee Regional Library System","orl1","1P Okefenokee Regional Library System","orl1"
"Peach Public Libraries","pea1","1P Peach County Public Libraries","pea1"
"Piedmont Regional Library System","prh1","1P Piedmont Regional Library System","prh1"
"Pine Mountain Regional Library System","pmr1","1P Pine Mountain Regional Library System","pmr1"
"Sara Hightower Regional Library System","sar1","1P Sara Hightower Regional Library System","sar1"
"Satilla Regional Library","sat1","1P Satilla Regional Library System","sat1"
"Screven-Jenkins Regional Library System","scr1","1P Screven-Jenkins Regional Library System","scr1"
"Sequoyah Regional Library System","seq1","1P Sequoyah Regional Library System","seq1"
"Smyrna Public Library","smyr","1P Smyrna Public Library","smyr"
"South Georgia Regional Library","sgr1","1P South Georgia Regional Library System","sgr1"
"Southwest Georgia Regional Library","sou1","1P Southwest Georgia Regional Library System","sou1"
"Statesboro Regional Library System","bor1","1P Statesboro Regional Library System","bor1"
"Three Rivers Regional Library System","bgr1","1P Three Rivers Regional Library System","bgr1"
"Troup-Harris Regional Library","thc1","1P Troup-Harris-Coweta Regional Library System","thc1"
"Twin Lakes Library System","lake","1P Twin Lakes Library System","lake"
"Uncle Remus Regional Library System","unc1","1P Uncle Remus Regional Library System","unc1"
"West Georgia Regional Library","wgr1","1P West Georgia Regional Library","wgr1"
"Worth County Public Library","wor1","1P Worth County Public Library","wor1"
