"abr1","Abraham Baldwin Agricultural College"
"psao","Academe of the Oaks"
"asc1","Agnes Scott College"
"alb1","Albany State University"
"albt","Albany Technical College"
"and1","Andrew College"
"sapp","Appling County Schools"
"arm1","Armstrong State University"
"ath1","Athens Regional Library System"
"ath2","Athens Technical College"
"satk","Atkinson County Schools"
"hatl","Atlanta Area School for the Deaf"
"satl","Atlanta Public Schools"
"psat","Atlanta Girls' School"
"ahc1","Atlanta History Center"
"atl1","Atlanta Metropolitan State College"
"atlt","Atlanta Technical College"
"auc1","Atlanta University Center Robert W. Woodruff Library"
"afpl","Fulton County Library System"
"jmls","Atlanta's John Marshall Law School"
"psap","Augusta Preparatory Day School"
"aut1","Augusta Technical College"
"reg1","Augusta University"
"ecg1","Augusta-Richmond County Public Library"
"sbac","Bacon County Schools"
"bai1","Bainbridge State College"
"sbak","Baker County Schools"
"sbal","Baldwin County Schools"
"sban","Banks County Schools"
"sbar","Barrow County Schools"
"car1","Bartow County Library System"
"sbaa","Bartow County Schools"
"btr1","Bartram Trail Regional Library System"
"psbf","Benjamin Franklin Academy"
"sben","Ben Hill County Schools"
"sber","Berrien County Schools"
"ber1","Berry College"
"bhu1","Beulah Heights University"
"sbib","Bibb County Schools"
"sble","Bleckley County Schools"
"psbh","Brandon Hall School"
"sbrn","Brantley County Schools"
"sbre","Bremen City Schools"
"bre1","Brenau University"
"brpa","Brewton-Parker College"
"bcl1","Brooks County Library"
"sbro","Brooks County Schools"
"sbry","Bryan County Schools"
"sbuf","Buford City Schools"
"sbul","Bulloch County Schools"
"sbur","Burke County Schools"
"sbut","Butts County Schools"
"scal","Calhoun City Schools"
"scab","Calhoun County Schools"
"scam","Camden County Schools"
"scan","Candler County Schools"
"scac","Carroll County Schools"
"scar","Carrollton City Schools"
"scae","Cartersville City Schools"
"bcat","Catoosa County Public Library System"
"scat","Catoosa County Schools"
"mac2","Central Georgia Technical College"
"scha","Charlton County Schools"
"hgro","Chatham County Schools"
"schb","Chattahoochee County Schools"
"cht2","Chattahoochee Technical College"
"cht1","Chattahoochee Valley Libraries"
"tcha","Chattahoochee-Flint RESA"
"cha1","Chattooga County Library System"
"hcht","Chattooga County Schools"
"sche","Cherokee County Schools"
"crl1","Cherokee Regional Library System"
"che1","Chestatee Regional Library System"
"schi","Chickamauga City Schools"
"cau1","Clark Atlanta University"
"sclb","Clarke County Schools"
"scla","Clay County Schools"
"ccl1","Clayton County Library System"
